Force,Intro,Total calls (2014-04),Total calls (2014-05),Total calls (2014-06),Total calls (2014-07),Total calls (2014-08),Total calls (2014-09),Total calls (2014-10),Total calls (2014-11),Total calls (2014-12),Total calls (2015-01),Total calls (2015-02),Total calls (2015-03),Total calls explanation,Answer time (2014-04),Answer time (2014-05),Answer time (2014-06),Answer time (2014-07),Answer time (2014-08),Answer time (2014-09),Answer time (2014-10),Answer time (2014-11),Answer time (2014-12),Answer time (2015-01),Answer time (2015-02),Answer time (2015-03),Answer time explanation,Abandonment rate (2014-04),Abandonment rate (2014-05),Abandonment rate (2014-06),Abandonment rate (2014-07),Abandonment rate (2014-08),Abandonment rate (2014-09),Abandonment rate (2014-10),Abandonment rate (2014-11),Abandonment rate (2014-12),Abandonment rate (2015-01),Abandonment rate (2015-02),Abandonment rate (2015-03),Abandonment explanation,About the service explanation,About the data explanation
Dorset Police,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",Not available,Not available,Not available,43746,38235,39339,35005,32185,29891,32606,29536,30632,,Not available,Not available,Not available,72,58,66,49,40,43,43,40,45,,Not available,Not  available,Not available,8.57,6.27,6.28,8.12,7.05,7.37,0.087,0.069,Not available,"Data only includes calls abandoned after 30 seconds. Due to technical issues with the Voice Activated Switchboard, the Caller Abandonment Rates and % within target figures are not available for March.",,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
Durham Constabulary,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",25314,26814,27715,28717,26186,27012,28721,26465,23928,24778,24563,26311,Data includes calls to 101 and other non-emergency numbers.,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Calls to Durham Constabulary are answered immediately by an automated system. The time taken for calls to be transferred to designated call handlers is not recorded.,6.1,5.4,7.5,6.7,4.4,5,6.6,7.9,6.4,0.045,0.036,0.028,Caller abandonment rate includes 101 calls and calls received on other non-emergency contact numbers.,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
Dyfed-Powys Police,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",Not available,28357,29694,31260,29921,30784,29435,27010,24038,25224,23957,28060,,10.7,11.3,12.7,22,27,21,20,27,23,14.85,21.85,26.22,,5.3,5.3,4.9,11.3,12.5,12.3,10.3,10,9.8,0.097,0.112,0.119,,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
Essex Police,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",68643,72322,74802,81294,73687,77945,79199,73349,67345,68888,64074,71891,The data supplied relates to all external calls into switchboard. This includes not only calls to 101 but also other numbers that were previously used by the public proir to the implementation of 101.,5,6,7,7,6,8,8,8,6,7,7,6,Essex Police records the average time taken for calls to be answered by its switchboard. Calls are then transferred to designated call handlers who deal with non-emergency issues. The time taken for calls to be answered by designated call handlers is not recorded.,0.2,0.4,0.6,0.7,0.5,1,0.8,0.9,0.5,0.008,0.007,0.005, The abandonement rate is calculated on calls that are abandoned outside of the local service standard (30s).,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
Gloucestershire Constabulary,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",20958,23354,23528,25429,22660,23537,22771,21267,20160,19752,18590,22075,,52,89,68,62,67,62,33,35,22,16,19,25,Gloucestershire Constabulary records the average time taken for calls to be answered by designated calls handlers who deal with non-emergency issues.,12.6,19.3,15.5,13.5,12.9,11.1,7.17,7.02,4.66,0.056,0.06,0.081,,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
Greater Manchester Police,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",57601,64430,67618,77496,69795,74487,75398,72133,66505,66150,64161,70206,Data includes calls to 101 and other non-emergency numbers.,42,27.6,23.1,65,53,39,66,51,42,36,54,38,Greater Manchester Police records the average time taken for calls to be answered by designated calls handlers who deal with non-emergency issues.,3.8,8.6,9.7,12.6,9.2,8.5,7.51,6.89,6.43,0.055,0.0745,0.0667,,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
Gwent Police,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",14973,16097,17846,18916,16989,18071,17355,15637,14335,14332,13997,16281,,32,39,57,73.13,51.42,77.67,75,53,44,62,63,63,,5,7,10,13,10,13,13,9,7,0.1,0.12,0.11,Please note that the abandoned calls above are measured using just the calls that abandoned outside of local service standards.,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
Hampshire Constabulary,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",58273,63929,65138,72725,64651,69383,61131,55889,51436,53195,49662,57182,,31,35,46,54,51,78,45,43,32,31,37,44,,4,5,8,11,0,16,5.97,5.61,2.56,0.0226,0.0379,0.0615,Abandonment rate is measured as calls abandoned outside the service level of 60 seconds.,"SLA is 75 of calls answered/abandoned within 60 seconds.  Please note the following with regard to Hampshire call data: We have an IVR at the front end which allows callers to select an option which will direct calls to the Enquiry Centre, dial a specific extension etc. If no option is chosen, the caller will be diverted to the Switchboard during its operating hours of Monday to Friday 0800 - 1800 Outside of these hours, calls go directly to our Enquiry Centre. As we use a combination of option 1 and 2, all data relates to calls presented to our Enquiry Centre only.","There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
Hertfordshire Constabulary,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",28549,27017,28168,28549,27017,28168,32838,30661,27839,34419,32585,37558,From September 2014 total calls received will also include non-101 calls made on the local call number 01707354000,19,21,23,19,21,23,18,18,15,17,14,26,Hertfordshire Constabulary records the average time taken for calls to be answered by designated calls handlers who deal with non-emergency issues.,2,2.1,2.3,2,2.1,2.3,2.4,2.3,2,0.023,0.015,0.031,Abandoned call rate is measured as a proportion of total calls received. Abandoned call rate only includes those abandoned after call threshold of 30 seconds. Local service standard is 80 of calls answered within 30 seconds.,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
Humberside Police,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",20260,22185,22751,25455,23015,23156,23686,23472,23120,22636,21054,20868,,33,37,43,43,51,43,35,38,42,42,124,124,,4.5,5.7,6.2,6.6,8.2,10.3,11.3,13.7,13.6,0.157,0.235,0.211,,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
Kent Police,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",44068,47950,49005,51546,51510,50632,48168,45370,43743,44295,42167,48788,,8.2,11.3,13.7,85.7,71.6,121.5,92,69,60,57,99,107,,0.5,1.1,1.5,6.6,6.6,9.6,7.4,5.09,4.52,0.0508,0.0952,0.1401,Call abandonment rates - a proportion of the total calls. Calls abandoned within 30 seconds are excluded from the data.,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
Lancashire Constabulary,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",87387,91646,78633,80515,69816,77094,67708,63198,57629,62856,64071,68721,Data includes calls to 101 and other non-emergency numbers.,123.7,121.1,72.2,49.4,40,58.7,29,24,21,28.3,62.5,46.3,Lancashire Constabulary records the average time taken for calls to be answered by designated calls handlers who deal with non-emergency issues.,33.8,33,24.7,17.3,14,18.2,8.3,7.5,6.8,0.109,0.213,0.163,Data only includes calls abandoned after 40 seconds.,"Over the last six months we have been recruiting and training staff to address a staffing shortfall. This will ensure we have appropriate resource capabilities going forward so we can deliver the high level of service the residents of Lancashire have come expect. This, coupled with the recent introduction of online reporting within Lancashire and other improvements, have allowed us to more efficiently and effectively manage demand.","There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
Leicestershire Police,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",12881,13528,15144,16253,15115,12853,12790,14750,12688,12186,9435,8933,,16,28,31,28,21,30,25,29,16,16,18,22,Leicestershire Police records the average time taken for calls to be answered by designated calls handlers who deal with non-emergency issues.,2.7,6.4,5.8,5.3,4,5.4,4.39,5.11,3.1,0.032,0.067,0.065,,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
Lincolnshire Police,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",25872,26511,26102,26939,24838,25417,25666,24104,20866,21492,20547,23306,,8,7,7,8,8,5,7,7,6,6,6,6,,2.4,2.2,1.7,2.2,1.6,1.6,1.5,1.4,1.2,0.0106,0.0097,0.0111,,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
Merseyside Police,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",30087,30643,24707,28767,25456,28772,28676,28176,27016,26363,25688,29648,,8,8,8,14.76,10.67,9.95,9,11,12,9,8,13,Merseyside Police records the average time taken for calls to be answered by designated calls handlers who deal with non-emergency issues.,4.98,4.21,6.51,6.36,6.43,7.9,3.3,3.3,3.4,0.0332,0.0331,0.03,,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
Metropolitan Police Service,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",227492,241796,248745,267933,237418,252042,252980,236072,220272,224269,208976,240608,Total Calls is all calls received by the switchboard (including other non-emergency numbers) and includes abandoned calls.,8,14,12,14,7.6,11.7,12,8,7,7,10,18,Metropolitan Police Service records the average time taken for calls to be answered by its switchboard. Calls are then transferred to designated call handlers who deal with non-emergency issues. The time taken for calls to be answered by designated call handlers is not recorded.,1,3,2,1.31,0.96,1.18,2.34,1.59,1.19,0.01,0.02,0.03,"Figures are for Total Abandoned calls, we also record those abandoned within 30 seconds.",,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
Norfolk Constabulary,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",24234,25748,26161,29809,27260,27147,26670,24653,22355,22071,22286,25240,,9,8.5,9.2,11.4,10.2,10.5,10,11,10,9.51,11.43,11.95,,1.3,1.3,1.4,2.4,1.7,2,1.71,2.67,2.1,0.0186,0.0203,0.0274,,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
North Wales Police,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",27892,28215,29929,32923,30611,29675,37201,36356,33452,22155,20684,26380,Total calls are for are non-emergency numbers as North Wales Police does not separate 101 number from the 0300 number.,5,10,7,1.3,1.1,1.5,1.5,1.3,1,1.3,2.3,3.54,,2.7,2.8,4.3,4.3,3.2,2.6,1.91,1.95,1.09,0.019,0.0381,0.0592,Abandonment is based on calls only abandoned outside the old service level agreement which was a target of 40 seconds to answer. ,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
North Yorkshire Police,"101 is an easy and memorable number through which you can contact your local police force. This makes it easier to report crime and disorder in non-emergency circumstances and to support the police in tackling it. 

You should always call 999 when a crime is happening, when someone suspected of a crime is nearby, when there is danger to life or when violence is being used or threatened. You should call 101 to contact the police in non-emergency circumstances such as reporting an incident that has already occurred, giving the police information about crime in your area and making general police enquiries. 

101 calls are answered by an automated system which will transfer you to the local police force you need to speak to. To provide more information on how your local police force is performing, we have published data on total calls received, average time to answer and call abandonment rates for 101 calls. 

Feedback on the service received after 101 calls have been transferred to police forces should be directed to the relevant police force and you may wish to contact your local police and crime commissioner. ",35608,37872,38891,42749,39920,39074,23062,21160,19620,20527,22041,22173,,31,33,40,48,51,69,58,58,39,31.2,33.2,40,North Yorkshire Police records the average time taken for calls to be answered by designated calls handlers who deal with non-emergency issues.,3.76,3.34,3.9,8.8,9.26,12.77,17.28,10,6.48,0.0564,0.0581,0.0695,,,"There are variations in how police forces manage 101 calls and collect data. For example, some forces record the average time taken for 101 calls to be answered by their switchboards. Calls are then transferred to designated call handlers who deal with non-emergency issues. For these forces, the time taken for designated call handlers to answer calls is not recorded. Other forces record the average time taken for calls to be answered by designated call handlers. Some forces are unable to separate 101 calls from other non-emergency calls. A number of forces record all abandoned calls whereas others only record calls that were abandoned after a certain period of time. Details of the particular arrangements in place in each force are provided above."
